instance,epoch,link0,link1,link2,link3,link4,link5
arm_19,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_20,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_21,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_22,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_23,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_24,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_25,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_26,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_27,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_28,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_29,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_30,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_31,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_32,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_33,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_34,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_35,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_36,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_37,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_38,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_39,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_40,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_41,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_42,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_43,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_44,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_45,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_46,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_47,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_48,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_49,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_50,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_51,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_52,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_53,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_54,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_55,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_56,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_57,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_58,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_59,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_60,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_61,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_62,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_63,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_64,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_65,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_66,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_67,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_68,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_69,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_70,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_71,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_72,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_73,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_74,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_75,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_76,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_77,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_78,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_79,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_80,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_81,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_82,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_83,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_84,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_85,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_86,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_87,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_88,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_89,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_90,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_91,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_92,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_93,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_94,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_95,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_96,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_97,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_98,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_99,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_100,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_101,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_102,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_103,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_104,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_105,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_106,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_107,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_108,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_109,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_110,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_111,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_112,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_113,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_114,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_115,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_116,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_117,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_118,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_119,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_120,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_121,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_122,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_123,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_124,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_125,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_126,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_127,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_128,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_129,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_130,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_131,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_132,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_133,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_134,2,495.95,499.843,478.148,503.655,490.089,487.74
arm_135,2,495.95,499.843,478.148,503.655,490.089,487.74
